date,type,subscription_type,subscription_tenure,subscription_price,discount,cancel_reason
2023-01-03,new_arr,yearly,12,119.88,19.99,
2023-01-03,new_arr,monthly,9,9.99,0.0,
2023-01-03,new_arr,monthly,11,9.99,0.0,
2023-01-03,new_arr,monthly,12,9.99,0.0,
2023-01-03,new_arr,monthly,12,9.99,0.0,
2023-01-03,new_arr,yearly,8,119.88,19.99,
2023-01-03,new_arr,monthly,4,9.99,0.0,
2023-01-03,new_arr,monthly,9,9.99,0.0,
2023-01-03,new_arr,yearly,4,119.88,19.99,
2023-01-03,new_arr,monthly,1,9.99,0.0,
2023-01-03,new_arr,yearly,9,119.88,19.99,
2023-01-03,new_arr,yearly,3,119.88,19.99,
2023-01-03,cancel_arr,yearly,3,119.88,19.99,not using
2023-01-03,new_arr,monthly,1,9.99,0.0,
2023-01-03,new_arr,yearly,5,119.88,19.99,
2023-01-03,new_arr,monthly,11,9.99,0.0,
2023-01-03,new_arr,monthly,3,9.99,0.0,
2023-01-03,new_arr,yearly,9,119.88,19.99,
2023-01-03,new_arr,monthly,1,9.99,0.0,
2023-01-03,cancel_arr,monthly,1,9.99,0.0,not using
2023-01-03,new_arr,yearly,7,119.88,19.99,
2023-01-03,new_arr,monthly,6,9.99,0.0,
2023-01-03,cancel_arr,monthly,6,9.99,0.0,service
2023-01-03,new_arr,monthly,1,9.99,0.0,
2023-01-03,new_arr,monthly,9,9.99,0.0,
2023-01-03,new_arr,yearly,3,119.88,19.99,
2023-01-03,new_arr,monthly,6,9.99,0.0,
2023-01-03,new_arr,monthly,1,9.99,0.0,
2023-01-03,new_arr,yearly,9,119.88,19.99,
2023-01-04,new_arr,yearly,4,119.88,19.99,
2023-01-04,new_arr,yearly,1,119.88,19.99,
2023-01-04,new_arr,monthly,7,9.99,0.0,
2023-01-04,cancel_arr,monthly,7,9.99,0.0,switched to competitor
2023-01-04,new_arr,yearly,3,119.88,19.99,
2023-01-04,cancel_arr,yearly,3,119.88,19.99,price
2023-01-04,new_arr,yearly,7,119.88,19.99,
2023-01-04,new_arr,monthly,1,9.99,0.0,
2023-01-04,new_arr,yearly,8,119.88,19.99,
2023-01-04,cancel_arr,yearly,8,119.88,19.99,not using
2023-01-04,new_arr,monthly,1,9.99,0.0,
2023-01-04,new_arr,yearly,5,119.88,19.99,
2023-01-04,new_arr,monthly,10,9.99,0.0,
2023-01-04,cancel_arr,monthly,10,9.99,0.0,service
2023-01-04,new_arr,monthly,5,9.99,0.0,
2023-01-04,new_arr,monthly,8,9.99,0.0,
2023-01-04,new_arr,yearly,8,119.88,19.99,
2023-01-04,new_arr,monthly,2,9.99,0.0,
2023-01-04,new_arr,monthly,9,9.99,0.0,
2023-01-04,new_arr,monthly,6,9.99,0.0,
2023-01-04,cancel_arr,monthly,6,9.99,0.0,service
2023-01-04,new_arr,yearly,9,119.88,19.99,
2023-01-04,cancel_arr,yearly,9,119.88,19.99,switched to competitor
2023-01-04,new_arr,yearly,2,119.88,19.99,
2023-01-04,new_arr,yearly,5,119.88,19.99,
2023-01-04,new_arr,monthly,7,9.99,0.0,
2023-01-04,cancel_arr,monthly,7,9.99,0.0,price
2023-01-04,new_arr,monthly,2,9.99,0.0,
2023-01-04,new_arr,yearly,11,119.88,19.99,
2023-01-04,cancel_arr,yearly,11,119.88,19.99,not using
2023-01-04,new_arr,monthly,10,9.99,0.0,
2023-01-04,new_arr,yearly,10,119.88,19.99,
2023-01-04,cancel_arr,yearly,10,119.88,19.99,service
2023-01-04,new_arr,monthly,12,9.99,0.0,
2023-01-04,new_arr,monthly,10,9.99,0.0,
2023-01-04,new_arr,yearly,7,119.88,19.99,
2023-01-04,new_arr,yearly,5,119.88,19.99,
2023-01-04,new_arr,yearly,8,119.88,19.99,
2023-01-04,cancel_arr,yearly,8,119.88,19.99,price
2023-01-04,new_arr,yearly,1,119.88,19.99,
2023-01-04,new_arr,monthly,9,9.99,0.0,
2023-01-04,new_arr,yearly,11,119.88,19.99,
2023-01-04,cancel_arr,yearly,11,119.88,19.99,service
2023-01-04,new_arr,yearly,10,119.88,19.99,
2023-01-04,new_arr,monthly,6,9.99,0.0,
2023-01-04,new_arr,monthly,9,9.99,0.0,
2023-01-04,new_arr,yearly,4,119.88,19.99,
2023-01-04,new_arr,monthly,3,9.99,0.0,
2023-01-04,new_arr,yearly,7,119.88,19.99,
2023-01-04,cancel_arr,yearly,7,119.88,19.99,switched to competitor
2023-01-04,new_arr,monthly,6,9.99,0.0,
2023-01-04,new_arr,yearly,7,119.88,19.99,
2023-01-04,cancel_arr,yearly,7,119.88,19.99,price
2023-01-04,new_arr,yearly,9,119.88,19.99,
2023-01-04,new_arr,monthly,11,9.99,0.0,
2023-01-04,new_arr,yearly,9,119.88,19.99,
2023-01-04,new_arr,monthly,4,9.99,0.0,
2023-01-04,new_arr,yearly,1,119.88,19.99,
2023-01-04,new_arr,monthly,11,9.99,0.0,
2023-01-04,new_arr,monthly,5,9.99,0.0,
2023-01-04,new_arr,monthly,7,9.99,0.0,
2023-01-04,new_arr,monthly,12,9.99,0.0,
2023-01-04,new_arr,monthly,7,9.99,0.0,
2023-01-04,cancel_arr,monthly,7,9.99,0.0,price
2023-01-04,new_arr,monthly,2,9.99,0.0,
2023-01-04,new_arr,monthly,12,9.99,0.0,
2023-01-04,new_arr,monthly,1,9.99,0.0,
2023-01-04,new_arr,monthly,3,9.99,0.0,
2023-01-04,new_arr,yearly,7,119.88,19.99,
2023-01-04,new_arr,monthly,9,9.99,0.0,
2023-01-04,cancel_arr,monthly,9,9.99,0.0,switched to competitor
2023-01-04,new_arr,yearly,3,119.88,19.99,
2023-01-04,new_arr,yearly,4,119.88,19.99,
2023-01-04,cancel_arr,yearly,4,119.88,19.99,service
2023-01-04,new_arr,yearly,7,119.88,19.99,
2023-01-04,new_arr,yearly,5,119.88,19.99,
2023-01-04,cancel_arr,yearly,5,119.88,19.99,not using
2023-01-04,new_arr,yearly,4,119.88,19.99,
2023-01-04,new_arr,yearly,9,119.88,19.99,
2023-01-04,new_arr,yearly,2,119.88,19.99,
2023-01-04,new_arr,monthly,5,9.99,0.0,
2023-01-04,new_arr,monthly,5,9.99,0.0,
2023-01-04,new_arr,yearly,11,119.88,19.99,
2023-01-04,new_arr,monthly,12,9.99,0.0,
2023-01-04,new_arr,yearly,6,119.88,19.99,
2023-01-04,new_arr,yearly,3,119.88,19.99,
2023-01-04,new_arr,yearly,7,119.88,19.99,
2023-01-04,new_arr,monthly,10,9.99,0.0,
2023-01-04,cancel_arr,monthly,10,9.99,0.0,service
2023-01-04,new_arr,yearly,9,119.88,19.99,
2023-01-04,new_arr,monthly,12,9.99,0.0,
2023-01-04,new_arr,yearly,7,119.88,19.99,
2023-01-04,new_arr,monthly,12,9.99,0.0,
2023-01-04,new_arr,monthly,11,9.99,0.0,
2023-01-04,new_arr,yearly,1,119.88,19.99,
2023-01-04,new_arr,monthly,9,9.99,0.0,
2023-01-04,new_arr,monthly,11,9.99,0.0,
2023-01-04,new_arr,monthly,8,9.99,0.0,
2023-01-04,cancel_arr,monthly,8,9.99,0.0,service
2023-01-04,new_arr,monthly,7,9.99,0.0,
2023-01-04,new_arr,yearly,6,119.88,19.99,
2023-01-04,new_arr,yearly,1,119.88,19.99,
2023-01-04,new_arr,monthly,12,9.99,0.0,
2023-01-04,cancel_arr,monthly,12,9.99,0.0,service
2023-01-04,new_arr,monthly,10,9.99,0.0,
2023-01-04,new_arr,yearly,12,119.88,19.99,
2023-01-04,new_arr,monthly,1,9.99,0.0,
2023-01-04,new_arr,yearly,12,119.88,19.99,
2023-01-04,new_arr,monthly,2,9.99,0.0,
2023-01-04,cancel_arr,monthly,2,9.99,0.0,switched to competitor
2023-01-04,new_arr,monthly,3,9.99,0.0,
2023-01-04,cancel_arr,monthly,3,9.99,0.0,price
2023-01-04,new_arr,yearly,8,119.88,19.99,
2023-01-04,new_arr,monthly,9,9.99,0.0,
2023-01-04,cancel_arr,monthly,9,9.99,0.0,not using
2023-01-04,new_arr,yearly,9,119.88,19.99,
2023-01-04,new_arr,monthly,4,9.99,0.0,
2023-01-04,new_arr,yearly,8,119.88,19.99,
2023-01-04,cancel_arr,yearly,8,119.88,19.99,price
2023-01-04,new_arr,yearly,3,119.88,19.99,
2023-01-04,new_arr,yearly,8,119.88,19.99,
2023-01-04,cancel_arr,yearly,8,119.88,19.99,price
2023-01-04,new_arr,yearly,1,119.88,19.99,
2023-01-04,new_arr,yearly,7,119.88,19.99,
2023-01-04,new_arr,yearly,11,119.88,19.99,
2023-01-05,new_arr,monthly,5,9.99,0.0,
2023-01-05,new_arr,monthly,9,9.99,0.0,
2023-01-05,new_arr,monthly,1,9.99,0.0,
2023-01-05,new_arr,yearly,1,119.88,19.99,
2023-01-05,new_arr,yearly,9,119.88,19.99,
2023-01-05,new_arr,monthly,7,9.99,0.0,
2023-01-05,new_arr,monthly,8,9.99,0.0,
2023-01-05,cancel_arr,monthly,8,9.99,0.0,price
2023-01-05,new_arr,monthly,1,9.99,0.0,
2023-01-05,new_arr,monthly,3,9.99,0.0,
2023-01-05,new_arr,monthly,2,9.99,0.0,
2023-01-05,new_arr,yearly,4,119.88,19.99,
2023-01-05,new_arr,yearly,8,119.88,19.99,
2023-01-05,cancel_arr,yearly,8,119.88,19.99,not using
2023-01-05,new_arr,monthly,1,9.99,0.0,
2023-01-05,new_arr,yearly,2,119.88,19.99,
2023-01-05,new_arr,yearly,5,119.88,19.99,
2023-01-05,cancel_arr,yearly,5,119.88,19.99,switched to competitor
2023-01-05,new_arr,yearly,4,119.88,19.99,
2023-01-05,new_arr,monthly,8,9.99,0.0,
2023-01-05,new_arr,yearly,7,119.88,19.99,
2023-01-05,new_arr,yearly,7,119.88,19.99,
2023-01-05,new_arr,monthly,5,9.99,0.0,
2023-01-05,new_arr,yearly,1,119.88,19.99,
